project_id,risk_score,is_anomaly
P00001099,32.8,True
P00001100,32.52,True
P00001101,24.1,False
P00001102,48.27,True
P00001103,53.09,True
P00001104,47.93,True
P00001105,48.44,True
P00001106,40.41,True
P00001107,56.43,True
P00001108,48.75,True
P00001109,46.57,True
P00001110,28.79,False
P00001111,47.22,True
P00001112,43.22,True
P00001113,16.93,False
P00001114,44.43,True
P00001115,21.23,False
P00001116,41.82,True
P00001117,46.47,True
P00001118,48.08,True
P00001119,48.95,True
P00001120,39.08,True
P00001121,45.96,True
P00001122,25.05,False
P00001123,49.45,True
P00001124,24.57,False
P00001125,48.65,True
P00001126,17.69,False
P00001127,23.2,False
P00001128,24.56,False
P00001129,49.86,True
P00001130,45.98,True
P00001131,58.16,True
P00001132,49.89,True
P00001133,45.33,True
P00001134,55.73,True
P00001135,31.88,True
P00001136,31.7,True
P00001137,18.68,False
P00001138,25.98,False
P00001139,56.55,True
P00001140,34.57,True
P00001141,46.84,True
P00001142,66.33,True
P00001143,23.65,False
P00001144,33.99,True
P00001145,40.77,True
P00001146,48.34,True
P00001147,50.5,True
P00001148,44.32,True
P00001149,41.58,True
P00001150,34.43,True
P00001151,41.01,True
P00001152,40.89,True
P00001153,31.98,True
P00001154,48.67,True
P00001155,65.96,True
P00001156,39.11,True
P00001157,46.47,True
P00001158,39.69,True
P00001159,53.94,True
P00001160,41.44,True
P00001161,47.7,True
P00001162,47.92,True
P00001163,47.76,True
P00001164,30.83,True
P00001165,45.36,True
P00001166,19.77,False
P00001167,43.49,True
P00001168,55.4,True
P00001169,22.78,False
P00001170,39.2,True
P00001171,31.21,True
P00001172,58.41,True
P00001173,44.38,True
P00001174,45.68,True
P00001175,39.21,True
P00001176,53.27,True
P00001177,47.27,True
P00001178,49.17,True
P00001179,30.58,True
P00001180,51.09,True
P00001181,42.57,True
P00001182,31.37,True
P00001183,34.62,True
P00001184,35.53,True
P00001185,41.54,True
P00001186,46.73,True
P00001187,42.73,True
P00001188,68.2,True
P00001189,30.96,True
P00001190,31.98,True
P00001191,23.93,False
P00001192,38.92,True
P00001193,51.27,True
P00001194,48.76,True
P00001195,43.39,True
P00001196,69.49,True
P00001197,50.7,True
P00001198,44.62,True
P00001199,27.06,False
P00001200,20.64,False
P00001201,45.89,True
P00001202,45.52,True
P00001203,23.12,False
P00001204,27.11,False
P00001205,48.31,True
P00001206,27.01,False
P00001207,54.2,True
P00001208,47.6,True
P00001209,50.78,True
P00001210,55.39,True
P00001211,42.67,True
P00001212,36.68,True
P00001213,57.86,True
P00001214,36.19,True
P00001215,54.67,True
P00001216,43.24,True
P00001217,56.83,True
P00001218,55.77,True
P00001219,45.64,True
P00001220,24.86,False
P00001221,24.03,False
P00001222,43.88,True
P00001223,52.57,True
P00001224,52.66,True
P00001225,48.79,True
P00001226,27.64,False
P00001227,66.43,True
P00001228,52.06,True
P00001229,78.48,True
P00001230,47.46,True
P00001231,41.0,True
P00001232,55.88,True
P00001233,29.71,False
P00001234,46.1,True
P00001235,30.03,True
P00001236,41.47,True
P00001237,65.06,True
P00001238,57.1,True
P00001239,51.06,True
P00001240,37.89,True
P00001241,38.94,True
P00001242,48.02,True
P00001243,37.27,True
P00001244,55.5,True
P00001245,45.21,True
P00001246,27.32,False
P00001247,53.1,True
P00001248,43.6,True
P00001249,18.82,False
P00001250,37.67,True
P00001251,48.88,True
P00001252,38.79,True
P00001253,44.41,True
P00001254,39.42,True
P00001255,44.31,True
P00001256,72.67,True
P00001257,50.02,True
P00001258,58.89,True
P00001259,46.55,True
P00001260,52.77,True
P00001261,18.0,False
P00001262,23.9,False
P00001263,50.14,True
P00001264,53.66,True
P00001265,41.84,True
P00001266,57.96,True
P00001267,29.35,False
P00001268,59.01,True
